Source,Target,Type,id,label,timeset,weight,sourcename,targetname,edgebetweenness
253,1452,Undirected,3527,5-hydroxytryptamine receptor 2A***,,1.0,Mirtazapine,Brexpiprazole,0.001010474016382436
253,1477,Undirected,3528,Alpha-1 adrenergic receptors***5-hydroxytryptamine receptor 2A***Histamine H1 receptor***,,3.0,Mirtazapine,Dosulepin,0.0014133208003222774
253,1489,Undirected,3529,5-hydroxytryptamine receptor 2A***,,1.0,Mirtazapine,Zotepine,0.0012186115214180206
253,1504,Undirected,3530,Kappa-type opioid receptor***,,1.0,Mirtazapine,Eluxadoline,0.002631932321740298
253,1554,Undirected,3531,Histamine H1 receptor***,,1.0,Mirtazapine,Acrivastine,6.546260239022425E-4
253,1582,Undirected,3532,Kappa-type opioid receptor***,,1.0,Mirtazapine,Opium,0.002588290586813482
253,1587,Undirected,3533,Kappa-type opioid receptor***,,1.0,Mirtazapine,Pentoxyverine,0.002088089163421512
253,1591,Undirected,3534,Histamine H1 receptor***,,1.0,Mirtazapine,Thonzylamine,0.0013327514435343092
253,1609,Undirected,3535,Histamine H1 receptor***,,1.0,Mirtazapine,Bilastine,6.546260239022425E-4
253,1618,Undirected,3536,Histamine H1 receptor***,,1.0,Mirtazapine,Rupatadine,6.546260239022425E-4
284,295,Undirected,4121,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Promazine,0.001020545185980932
284,300,Undirected,4122,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Triprolidine,6.714113065664026E-6
284,305,Undirected,4123,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Prochlorperazine,4.3306029273532966E-4
284,306,Undirected,4124,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Cyproheptadine,6.881965892305626E-4
284,323,Undirected,4125,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Imipramine,0.002064589767691688
284,335,Undirected,4126,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Chlorpromazine,0.0017322411709413186
284,379,Undirected,4127,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Nortriptyline,0.0014871760440445818
284,382,Undirected,4128,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Amoxapine,0.001869880488787431
284,389,Undirected,4129,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Lamotrigine,0.0027091446219954345
284,400,Undirected,4130,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Cinnarizine,0.0015140324963072377
284,451,Undirected,4131,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Astemizole,4.095608970055056E-4
284,465,Undirected,4132,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Trazodone,0.001054115751309252
284,510,Undirected,4133,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Paroxetine,0.001315966160870149
284,513,Undirected,4134,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Azatadine,6.714113065664026E-6
284,519,Undirected,4135,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Trimipramine,0.0016248153618906942
284,524,Undirected,4136,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Risperidone,9.265476030616356E-4
284,525,Undirected,4137,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Meclizine,6.881965892305626E-4
284,532,Undirected,4138,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Carbinoxamine,6.714113065664026E-6
284,534,Undirected,4139,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Epinastine,0.001013831072915268
284,544,Undirected,4140,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Olopatadine,1.7456693970726466E-4
284,550,Undirected,4141,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Propiomazine,7.654088894856989E-4
284,587,Undirected,4142,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Brompheniramine,4.3306029273532966E-4
284,630,Undirected,4143,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Methdilazine,6.714113065664026E-6
284,644,Undirected,4144,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Ketotifen,2.0142339196992076E-5
284,656,Undirected,4145,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Maprotiline,0.001047401638243588
284,668,Undirected,4146,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Fexofenadine,6.714113065664026E-6
284,681,Undirected,4147,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Desloratadine,6.714113065664026E-6
284,684,Undirected,4148,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Azelastine,0.0010171881294480998
284,766,Undirected,4149,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Emedastine,6.714113065664026E-6
284,781,Undirected,4150,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Levocabastine,6.714113065664026E-6
284,814,Undirected,4151,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Desipramine,0.0014569625352490935
284,831,Undirected,4152,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Orphenadrine,8.090506244125151E-4
284,833,Undirected,4153,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Escitalopram,0.0016013159661608701
284,834,Undirected,4154,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Cyclizine,6.714113065664026E-6
284,875,Undirected,4155,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Quetiapine,0.0011212568819658924
284,886,Undirected,4156,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Aripiprazole,0.0012286826910165166
284,887,Undirected,4157,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Chlorprothixene,9.332617161272996E-4
284,892,Undirected,4158,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Alimemazine,6.714113065664026E-6
284,908,Undirected,4159,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Paliperidone,0.0011548274472942125
284,969,Undirected,4160,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Methotrimeprazine,0.0011816838995568684
284,1027,Undirected,4161,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Phenindamine,6.714113065664026E-6
284,1031,Undirected,4162,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Zuclopenthixol,8.090506244125151E-4
284,1076,Undirected,4163,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Clofedanol,6.714113065664026E-6
284,1080,Undirected,4164,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Flunarizine,0.0014233919699207735
284,1105,Undirected,4165,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Iloperidone,8.728346985363234E-4
284,1140,Undirected,4166,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Cariprazine,4.5991674499798577E-4
284,1146,Undirected,4167,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Mianserin,0.0013226802739358132
284,1151,Undirected,4168,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Pizotifen,0.0010171881294480998
284,1171,Undirected,4169,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Asenapine,0.0012152544648851888
284,1229,Undirected,4170,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Mepyramine,6.714113065664026E-6
284,1261,Undirected,4171,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Alcaftadine,6.714113065664026E-6
284,1298,Undirected,4172,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Antazoline,6.714113065664026E-6
284,1299,Undirected,4173,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Dimetindene,3.2563448368470524E-4
284,1361,Undirected,4174,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Chlorcyclizine,6.714113065664026E-6
284,1381,Undirected,4175,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Butriptyline,7.586947764200349E-4
284,1477,Undirected,4176,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Dosulepin,0.0012790385390089969
284,1554,Undirected,4177,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Acrivastine,6.714113065664026E-6
284,1591,Undirected,4178,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Thonzylamine,4.3306029273532966E-4
284,1609,Undirected,4179,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Bilastine,6.714113065664026E-6
284,1618,Undirected,4180,Histamine H1 receptor***,,1.0,Dexbrompheniramine,Rupatadine,6.714113065664026E-6
236,246,Undirected,2977,Dopamine D1 receptor***,,1.0,Methylergometrine,Clozapine,0.0024909359473613535
236,285,Undirected,2978,Dopamine D1 receptor***,,1.0,Methylergometrine,Loxapine,0.001305894991271653
236,335,Undirected,2979,Dopamine D1 receptor***,,1.0,Methylergometrine,Chlorpromazine,0.0030381361622129717
236,356,Undirected,2980,Dopamine D1 receptor***,,1.0,Methylergometrine,Haloperidol,0.0014301060829864376
236,359,Undirected,2981,Dopamine D1 receptor***,,1.0,Methylergometrine,Triflupromazine,0.0012454679736806768
236,382,Undirected,2982,Dopamine D1 receptor***,,1.0,Methylergometrine,Amoxapine,0.0032932724587082045
236,417,Undirected,2983,Dopamine D1 receptor***,,1.0,Methylergometrine,Lisuride,0.0026856452262656104
236,444,Undirected,2984,Dopamine D1 receptor***,,1.0,Methylergometrine,Fluphenazine,0.001275681482476165
236,481,Undirected,2985,Dopamine D1 receptor***,,1.0,Methylergometrine,Thioridazine,0.002326440177252585
236,524,Undirected,2986,Dopamine D1 receptor***,,1.0,Methylergometrine,Risperidone,0.0019705921847723916
236,598,Undirected,2987,Dopamine D1 receptor***,,1.0,Methylergometrine,Perphenazine,0.001785954075466631
236,612,Undirected,2988,Dopamine D1 receptor***,,1.0,Methylergometrine,Flupentixol,0.0017825970189337989
236,875,Undirected,2989,Dopamine D1 receptor***,,1.0,Methylergometrine,Quetiapine,0.0021653014636766484
236,886,Undirected,2990,Dopamine D1 receptor***,,1.0,Methylergometrine,Aripiprazole,0.002262656103128777
236,887,Undirected,2991,Dopamine D1 receptor***,,1.0,Methylergometrine,Chlorprothixene,0.0019773062978380557
236,908,Undirected,2992,Dopamine D1 receptor***,,1.0,Methylergometrine,Paliperidone,0.0022928696119242646
236,969,Undirected,2993,Dopamine D1 receptor***,,1.0,Methylergometrine,Methotrimeprazine,0.0022257284812676244
236,1019,Undirected,2994,Dopamine D1 receptor***,,1.0,Methylergometrine,Periciazine,9.567611118571237E-4
236,1029,Undirected,2995,Dopamine D1 receptor***,,1.0,Methylergometrine,Pipotiazine,0.0013797502349939574
236,1030,Undirected,2996,Dopamine D1 receptor***,,1.0,Methylergometrine,Thiothixene,0.0012689673694105009
236,1031,Undirected,2997,Dopamine D1 receptor***,,1.0,Methylergometrine,Zuclopenthixol,0.0018530952061232711
236,1105,Undirected,2998,Dopamine D1 receptor***,,1.0,Methylergometrine,Iloperidone,0.0019168792802470793
236,1171,Undirected,2999,Dopamine D1 receptor***,,1.0,Methylergometrine,Asenapine,0.002413723647106217
285,286,Undirected,4181,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***,,2.0,Loxapine,Remoxipride,1.309252047804485E-4
285,295,Undirected,4182,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***5-hydroxytryptamine receptor 2C***,,3.0,Loxapine,Promazine,8.056935678796831E-4
285,305,Undirected,4183,Dopamine D2 receptor***,,1.0,Loxapine,Prochlorperazine,5.606284409829462E-4
285,306,Undirected,4184,5-hydroxytryptamine receptor 2A***5-hydroxytryptamine receptor 2C***,,2.0,Loxapine,Cyproheptadine,9.500469987914597E-4
285,319,Undirected,4185,Dopamine D2 receptor***,,1.0,Loxapine,Droperidol,4.3306029273532966E-4
285,323,Undirected,4186,5-hydroxytryptamine receptor 2A***5-hydroxytryptamine receptor 2C***,,2.0,Loxapine,Imipramine,0.0022190143682019607
285,332,Undirected,4187,5-hydroxytryptamine receptor 2C***,,1.0,Loxapine,Fluoxetine,0.0019168792802470793
285,335,Undirected,4188,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***Dopamine D1 receptor***,,3.0,Loxapine,Chlorpromazine,0.0015106754397744059
285,345,Undirected,4189,Dopamine D2 receptor***,,1.0,Loxapine,Buspirone,7.586947764200349E-4
285,356,Undirected,4190,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***Dopamine D1 receptor***,,3.0,Loxapine,Haloperidol,2.1485161810124882E-4
285,359,Undirected,4191,Dopamine D2 receptor***Dopamine D1 receptor***,,2.0,Loxapine,Triflupromazine,8.795488116019874E-4
285,379,Undirected,4192,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***5-hydroxytryptamine receptor 2C***,,3.0,Loxapine,Nortriptyline,0.0012588961998120048
285,382,Undirected,4193,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***5-hydroxytryptamine receptor 2C***Dopamine D1 receptor***,,4.0,Loxapine,Amoxapine,0.0016449577010876862
285,389,Undirected,4194,5-hydroxytryptamine receptor 2A***,,1.0,Loxapine,Lamotrigine,0.006673828387270041
285,400,Undirected,4195,Dopamine D2 receptor***,,1.0,Loxapine,Cinnarizine,0.002114945615684168
285,417,Undirected,4196,Dopamine D1 receptor***,,1.0,Loxapine,Lisuride,0.0011783268430240366
285,444,Undirected,4197,Dopamine D2 receptor***Dopamine D1 receptor***,,2.0,Loxapine,Fluphenazine,7.586947764200349E-4
285,465,Undirected,4198,5-hydroxytryptamine receptor 2A***,,1.0,Loxapine,Trazodone,0.0012555391432791728
285,481,Undirected,4199,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***Dopamine D1 receptor***,,3.0,Loxapine,Thioridazine,4.8677319726064187E-4
285,510,Undirected,4200,Dopamine D2 receptor***,,1.0,Loxapine,Paroxetine,0.0011716127299583724
285,519,Undirected,4201,Dopamine D2 receptor***5-hydroxytryptamine receptor 2C***,,2.0,Loxapine,Trimipramine,0.0013998925741909494
285,524,Undirected,4202,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***5-hydroxytryptamine receptor 2C***Dopamine D1 receptor***,,4.0,Loxapine,Risperidone,6.714113065664026E-4
285,534,Undirected,4203,5-hydroxytryptamine receptor 2A***,,1.0,Loxapine,Epinastine,0.0013663220088626293
285,550,Undirected,4204,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***5-hydroxytryptamine receptor 2C***,,3.0,Loxapine,Propiomazine,5.505572713844501E-4
285,568,Undirected,4205,5-hydroxytryptamine receptor 2A***5-hydroxytryptamine receptor 2C***,,2.0,Loxapine,Minaprine,0.00205116154156036
285,583,Undirected,4206,Dopamine D2 receptor***,,1.0,Loxapine,Trifluoperazine,7.385524372230429E-4
285,598,Undirected,4207,Dopamine D2 receptor***Dopamine D1 receptor***,,2.0,Loxapine,Perphenazine,7.553377198872029E-4
285,612,Undirected,4208,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***Dopamine D1 receptor***,,3.0,Loxapine,Flupentixol,5.505572713844501E-4
285,655,Undirected,4209,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***,,2.0,Loxapine,Mesoridazine,7.385524372230428E-5
285,736,Undirected,4210,Dopamine D2 receptor***,,1.0,Loxapine,Memantine,7.855512286826911E-4
285,748,Undirected,4211,Dopamine D2 receptor***,,1.0,Loxapine,Acetophenazine,6.881965892305626E-4
285,761,Undirected,4212,5-hydroxytryptamine receptor 2A***5-hydroxytryptamine receptor 2C***,,2.0,Loxapine,Tegaserod,4.733449711293138E-4
285,776,Undirected,4213,Dopamine D2 receptor***,,1.0,Loxapine,Pimozide,0.0011481133342285484
285,812,Undirected,4214,5-hydroxytryptamine receptor 2A***5-hydroxytryptamine receptor 2C***,,2.0,Loxapine,Nefazodone,0.0015207466093729019
285,814,Undirected,4215,5-hydroxytryptamine receptor 2A***,,1.0,Loxapine,Desipramine,0.0015140324963072377
285,833,Undirected,4216,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***5-hydroxytryptamine receptor 2C***,,3.0,Loxapine,Escitalopram,0.0013965355176581173
285,841,Undirected,4217,Dopamine D2 receptor***,,1.0,Loxapine,Domperidone,6.881965892305626E-4
285,875,Undirected,4218,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***Dopamine D1 receptor***,,3.0,Loxapine,Quetiapine,9.131193769303075E-4
285,883,Undirected,4219,Dopamine D2 receptor***,,1.0,Loxapine,Metoclopramide,6.009131193769303E-4
285,886,Undirected,4220,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***5-hydroxytryptamine receptor 2C***Dopamine D1 receptor***,,4.0,Loxapine,Aripiprazole,9.634752249227877E-4
285,887,Undirected,4221,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***Dopamine D1 receptor***,,3.0,Loxapine,Chlorprothixene,7.251242110917148E-4
285,890,Undirected,4222,5-hydroxytryptamine receptor 2A***5-hydroxytryptamine receptor 2C***,,2.0,Loxapine,Clomipramine,9.299046595944675E-4
285,908,Undirected,4223,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***5-hydroxytryptamine receptor 2C***Dopamine D1 receptor***,,4.0,Loxapine,Paliperidone,8.291929636095072E-4
285,963,Undirected,4224,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***5-hydroxytryptamine receptor 2C***,,3.0,Loxapine,Yohimbine,2.9206391835638514E-4
285,969,Undirected,4225,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***5-hydroxytryptamine receptor 2C***Dopamine D1 receptor***,,4.0,Loxapine,Methotrimeprazine,9.265476030616356E-4
285,1019,Undirected,4226,Dopamine D1 receptor***,,1.0,Loxapine,Periciazine,8.929770377333155E-4
285,1026,Undirected,4227,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***,,2.0,Loxapine,Molindone,5.706996105814422E-4
285,1029,Undirected,4228,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***Dopamine D1 receptor***,,3.0,Loxapine,Pipotiazine,1.4771048744460856E-4
285,1030,Undirected,4229,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***Dopamine D1 receptor***,,3.0,Loxapine,Thiothixene,4.3641734926816165E-5
285,1031,Undirected,4230,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***Dopamine D1 receptor***,,3.0,Loxapine,Zuclopenthixol,6.277695716395864E-4
285,1081,Undirected,4231,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***,,2.0,Loxapine,Fluspirilene,9.735463945212838E-5
285,1083,Undirected,4232,Dopamine D2 receptor***,,1.0,Loxapine,Tetrabenazine,9.466899422586276E-4
285,1098,Undirected,4233,5-hydroxytryptamine receptor 2A***,,1.0,Loxapine,Flibanserin,6.210554585739223E-4
285,1105,Undirected,4234,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***Dopamine D1 receptor***,,3.0,Loxapine,Iloperidone,6.848395326977307E-4
285,1140,Undirected,4235,5-hydroxytryptamine receptor 2A***,,1.0,Loxapine,Cariprazine,7.217671545588827E-4
285,1143,Undirected,4236,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***5-hydroxytryptamine receptor 2C***,,3.0,Loxapine,Sertindole,7.486236068215389E-4
285,1146,Undirected,4237,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***5-hydroxytryptamine receptor 2C***,,3.0,Loxapine,Mianserin,0.0011011145427689002
285,1151,Undirected,4238,5-hydroxytryptamine receptor 2A***5-hydroxytryptamine receptor 2C***,,2.0,Loxapine,Pizotifen,0.0011716127299583724
285,1171,Undirected,4239,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***5-hydroxytryptamine receptor 2C***Dopamine D1 receptor***,,4.0,Loxapine,Asenapine,9.802605075869477E-4
285,1187,Undirected,4240,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***,,2.0,Loxapine,Amisulpride,9.064052638646435E-5
285,1207,Undirected,4241,5-hydroxytryptamine receptor 2C***,,1.0,Loxapine,Agomelatine,0.0019034510541157514
285,1302,Undirected,4242,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***,,2.0,Loxapine,Lurasidone,2.55136296495233E-4
285,1381,Undirected,4243,5-hydroxytryptamine receptor 2A***,,1.0,Loxapine,Butriptyline,0.001020545185980932
285,1452,Undirected,4244,5-hydroxytryptamine receptor 2A***,,1.0,Loxapine,Brexpiprazole,7.486236068215389E-4
285,1477,Undirected,4245,5-hydroxytryptamine receptor 2A***,,1.0,Loxapine,Dosulepin,0.0015207466093729019
285,1489,Undirected,4246,5-hydroxytryptamine receptor 2A***Dopamine D2 receptor***,,2.0,Loxapine,Zotepine,0.0010709010339734122
287,568,Undirected,4315,Muscarinic acetylcholine receptor M1***,,1.0,Carbamoylcholine,Minaprine,0.011064858332214314
287,718,Undirected,4316,Muscarinic acetylcholine receptor M2***,,1.0,Carbamoylcholine,Bethanechol,0.019756277695716397
287,883,Undirected,4317,Muscarinic acetylcholine receptor M1***,,1.0,Carbamoylcholine,Metoclopramide,0.003350342419766349
287,1026,Undirected,4318,Muscarinic acetylcholine receptor M1***,,1.0,Carbamoylcholine,Molindone,0.029297032362024977
568,592,Undirected,9712,Acetylcholinesterase***,,1.0,Minaprine,Donepezil,0.02027997851483819
568,600,Undirected,9713,Sodium-dependent serotonin transporter***,,1.0,Minaprine,Pseudoephedrine,0.07330468645091984
568,612,Undirected,9714,5-hydroxytryptamine receptor 2A***,,1.0,Minaprine,Flupentixol,0.006952464079495099
568,635,Undirected,9715,Amine oxidase [flavin-containing] A***,,1.0,Minaprine,Zonisamide,0.0541426077615147
568,655,Undirected,9716,5-hydroxytryptamine receptor 2A***,,1.0,Minaprine,Mesoridazine,0.0027964280918490667
568,663,Undirected,9717,Acetylcholinesterase***,,1.0,Minaprine,Demecarium,0.022938767288841144
568,692,Undirected,9718,Acetylcholinesterase***,,1.0,Minaprine,Physostigmine,0.02027997851483819
568,695,Undirected,9719,Dopamine D2 receptor***Sodium-dependent serotonin transporter***Dopamine D1 receptor***,,3.0,Minaprine,Dopamine,0.0014032496307237814
568,696,Undirected,9720,Acetylcholinesterase***,,1.0,Minaprine,Rivastigmine,0.03742110917147845
568,732,Undirected,9721,Amine oxidase [flavin-containing] A***,,1.0,Minaprine,Selegiline,0.01680878205988989
568,761,Undirected,9722,5-hydroxytryptamine receptor 2C***5-hydroxytryptamine receptor 2A***5-hydroxytryptamine receptor 2B***,,3.0,Minaprine,Tegaserod,0.0025211494561568418
568,779,Undirected,9723,Sodium-dependent serotonin transporter***,,1.0,Minaprine,Sertraline,0.0021216597287498323
568,780,Undirected,9724,Sodium-dependent serotonin transporter***,,1.0,Minaprine,Sibutramine,0.0021216597287498323
568,794,Undirected,9725,Acetylcholinesterase***,,1.0,Minaprine,Ambenonium,0.02027997851483819
568,812,Undirected,9726,5-hydroxytryptamine receptor 2C***5-hydroxytryptamine receptor 2A***Sodium-dependent serotonin transporter***,,3.0,Minaprine,Nefazodone,0.004441385792936753
568,814,Undirected,9727,5-hydroxytryptamine receptor 2A***Sodium-dependent serotonin transporter***,,2.0,Minaprine,Desipramine,0.006986034644823419
568,829,Undirected,9728,Amine oxidase [flavin-containing] A***,,1.0,Minaprine,Moclobemide,0.015086612058547066
568,833,Undirected,9729,5-hydroxytryptamine receptor 2C***5-hydroxytryptamine receptor 2A***Sodium-dependent serotonin transporter***,,3.0,Minaprine,Escitalopram,0.006519403786759769
568,843,Undirected,9730,Dopamine D2 receptor***Dopamine D1 receptor***,,2.0,Minaprine,Pergolide,0.0035349805290721095
568,846,Undirected,9731,Sodium-dependent serotonin transporter***,,1.0,Minaprine,Dexfenfluramine,0.0012118974083523567
568,853,Undirected,9732,Acetylcholinesterase***,,1.0,Minaprine,Tubocurarine,0.004417886397206929
568,854,Undirected,9733,Dopamine D2 receptor***Dopamine D1 receptor***,,2.0,Minaprine,Bromocriptine,0.003716261581845038
568,875,Undirected,9734,5-hydroxytryptamine receptor 2A***,,1.0,Minaprine,Quetiapine,0.008711561702699074
568,883,Undirected,9735,Muscarinic acetylcholine receptor M1***,,1.0,Minaprine,Metoclopramide,0.0035786222639989256
568,884,Undirected,9736,Dopamine D2 receptor***Dopamine D1 receptor***,,2.0,Minaprine,Levodopa,0.0026856452262656104
568,886,Undirected,9737,5-hydroxytryptamine receptor 2C***5-hydroxytryptamine receptor 2A***,,2.0,Minaprine,Aripiprazole,0.005582785014099637
568,887,Undirected,9738,5-hydroxytryptamine receptor 2A***,,1.0,Minaprine,Chlorprothixene,0.00845642540620384
568,890,Undirected,9739,5-hydroxytryptamine receptor 2C***5-hydroxytryptamine receptor 2A***Sodium-dependent serotonin transporter***5-hydroxytryptamine receptor 2B***,,4.0,Minaprine,Clomipramine,0.002323083120719753
568,893,Undirected,9740,Amine oxidase [flavin-containing] A***,,1.0,Minaprine,Isocarboxazid,0.015717738686719485
568,908,Undirected,9741,5-hydroxytryptamine receptor 2C***5-hydroxytryptamine receptor 2A***,,2.0,Minaprine,Paliperidone,0.0048778031422049145
568,963,Undirected,9742,5-hydroxytryptamine receptor 2C***5-hydroxytryptamine receptor 2A***5-hydroxytryptamine receptor 2B***,,3.0,Minaprine,Yohimbine,0.0027494293003894185
568,968,Undirected,9743,Acetylcholinesterase***,,1.0,Minaprine,Neostigmine,0.017335839935544516
568,969,Undirected,9744,5-hydroxytryptamine receptor 2C***5-hydroxytryptamine receptor 2A***,,2.0,Minaprine,Methotrimeprazine,0.009121122599704578
568,996,Undirected,9745,Amine oxidase [flavin-containing] A***,,1.0,Minaprine,Metamfetamine,0.004656237411038002
568,1026,Undirected,9746,Muscarinic acetylcholine receptor M1***5-hydroxytryptamine receptor 2A***,,2.0,Minaprine,Molindone,0.005126225325634484
568,1029,Undirected,9747,5-hydroxytryptamine receptor 2A***,,1.0,Minaprine,Pipotiazine,0.002356653686048073
568,1030,Undirected,9748,5-hydroxytryptamine receptor 2A***,,1.0,Minaprine,Thiothixene,0.002155230294078152
568,1031,Undirected,9749,5-hydroxytryptamine receptor 2A***,,1.0,Minaprine,Zuclopenthixol,0.006150127568148247
568,1033,Undirected,9750,Amine oxidase [flavin-containing] A***,,1.0,Minaprine,Pargyline,0.014039210420303478
568,1074,Undirected,9751,Amine oxidase [flavin-containing] A***,,1.0,Minaprine,Zimelidine,0.01452598361756412
568,1081,Undirected,9752,5-hydroxytryptamine receptor 2A***,,1.0,Minaprine,Fluspirilene,0.0028199274875788907
568,1095,Undirected,9753,Sodium-dependent serotonin transporter***,,1.0,Minaprine,Milnacipran,0.006072915267893111
568,1098,Undirected,9754,5-hydroxytryptamine receptor 2A***,,1.0,Minaprine,Flibanserin,0.0021216597287498323
568,1105,Undirected,9755,5-hydroxytryptamine receptor 2A***,,1.0,Minaprine,Iloperidone,0.006257553377198872
568,1119,Undirected,9756,Dopamine D2 receptor***Dopamine D1 receptor***,,2.0,Minaprine,Rotigotine,0.002111588559151336
568,1140,Undirected,9757,Dopamine D2 receptor***5-hydroxytryptamine receptor 2A***5-hydroxytryptamine receptor 2B***,,3.0,Minaprine,Cariprazine,0.00427017590976232
568,1143,Undirected,9758,5-hydroxytryptamine receptor 2C***5-hydroxytryptamine receptor 2A***,,2.0,Minaprine,Sertindole,0.005609641466362294
568,1146,Undirected,9759,5-hydroxytryptamine receptor 2C***5-hydroxytryptamine receptor 2A***Sodium-dependent serotonin transporter***,,3.0,Minaprine,Mianserin,0.005213508795488116
568,1151,Undirected,9760,5-hydroxytryptamine receptor 2C***5-hydroxytryptamine receptor 2A***5-hydroxytryptamine receptor 2B***,,3.0,Minaprine,Pizotifen,0.008788774002954209
568,1163,Undirected,9761,Sodium-dependent serotonin transporter***,,1.0,Minaprine,Tapentadol,0.004649523297972338
568,1171,Undirected,9762,5-hydroxytryptamine receptor 2C***5-hydroxytryptamine receptor 2A***5-hydroxytryptamine receptor 2B***,,3.0,Minaprine,Asenapine,0.008842486907479522
568,1187,Undirected,9763,5-hydroxytryptamine receptor 2A***,,1.0,Minaprine,Amisulpride,0.0019336645629112394
